iter	Passed	Remaining
0	0	74
1	1	68
2	2	71
3	2	67
4	3	65
5	4	63
6	4	63
7	5	63
8	6	61
9	6	60
10	7	59
11	7	58
12	8	56
13	9	55
14	9	54
15	10	54
16	10	53
17	11	52
18	12	51
19	12	50
20	13	50
21	13	49
22	14	48
23	15	48
24	16	48
25	17	48
26	17	48
27	18	47
28	19	47
29	20	46
30	20	46
31	21	45
32	21	44
33	22	43
34	23	42
35	23	42
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	42	21
66	42	20
67	43	20
68	44	19
69	44	19
70	45	18
71	46	18
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	61	3
95	62	2
96	62	1
97	63	1
98	64	0
99	65	0
