iter	RMSE
0	14.69004162
1	14.32447406
2	13.96251634
3	13.6101952
4	13.28531989
5	12.97240656
6	12.68748124
7	12.41261342
8	12.14897529
9	11.86821905
10	11.57858458
11	11.33429248
12	11.1293535
13	10.88610973
14	10.65819578
15	10.42069627
16	10.21349603
17	10.01493257
18	9.809172641
19	9.615933222
20	9.463307715
21	9.313367024
22	9.144000853
23	8.984074177
24	8.83536139
25	8.685854721
26	8.546254728
27	8.420461758
28	8.280524974
29	8.158617961
30	8.058677454
31	7.936944087
32	7.828393369
33	7.735321573
34	7.631666874
35	7.54239715
36	7.443712503
37	7.356599639
38	7.271463264
39	7.197705434
40	7.126295097
41	7.050521481
42	6.979346571
43	6.917828357
44	6.852841824
45	6.790351139
46	6.721140451
47	6.662891573
48	6.600865821
49	6.543850103
50	6.490597394
51	6.436099327
52	6.384446215
53	6.336492461
54	6.295231532
55	6.25233327
56	6.210435779
57	6.174091469
58	6.141280627
59	6.108935901
60	6.077362978
61	6.03842371
62	6.003284313
63	5.965734664
64	5.936435927
65	5.908007655
66	5.876344292
67	5.846869641
68	5.818545501
69	5.792509066
70	5.765829216
71	5.745889043
72	5.727058299
73	5.705591757
74	5.687135943
75	5.665904919
76	5.649442086
77	5.628129429
78	5.609920011
79	5.591993277
80	5.576827034
81	5.561649203
82	5.543965605
83	5.526491421
84	5.509027167
85	5.492034106
86	5.478513329
87	5.467393442
88	5.452943564
89	5.439611825
90	5.428567121
91	5.419031217
92	5.40554412
93	5.394505875
94	5.384429484
95	5.374631992
96	5.36285946
97	5.35527484
98	5.345590636
99	5.332575064
100	5.322122991
101	5.311961471
102	5.30116323
103	5.292104932
104	5.281678198
105	5.276326409
106	5.266574298
107	5.25931001
108	5.251792472
109	5.242157211
110	5.231615481
111	5.224621591
112	5.219635201
113	5.214974312
114	5.207224056
115	5.201795092
116	5.195084203
117	5.187137147
118	5.182131185
119	5.174217547
120	5.16868387
121	5.161479132
122	5.156394264
123	5.152949003
124	5.144167163
125	5.137831963
126	5.132496707
127	5.126181388
128	5.120568413
129	5.114468385
130	5.108104759
131	5.101598782
132	5.096035442
133	5.090660095
134	5.087559494
135	5.085345858
136	5.080413716
137	5.076248692
138	5.074132561
139	5.067122681
140	5.060661295
141	5.054555748
142	5.048216711
143	5.041479144
144	5.035727769
145	5.03268928
146	5.022927209
147	5.019376618
148	5.013376382
149	5.009706653
150	5.006803988
151	4.999424252
152	4.993513359
153	4.990292939
154	4.986872784
155	4.981302858
156	4.976849195
157	4.971373914
158	4.965977028
159	4.960776007
160	4.95780088
161	4.955254618
162	4.951313306
163	4.945150825
164	4.940719458
165	4.936854564
166	4.932684179
167	4.927432735
168	4.92199994
169	4.918073005
170	4.914189928
171	4.910217122
172	4.906444348
173	4.902363709
174	4.897293832
175	4.891652096
176	4.886687952
177	4.88268654
178	4.877881226
179	4.875152525
180	4.868665088
181	4.864217538
182	4.858352786
183	4.853678056
184	4.850990843
185	4.847307875
186	4.843422552
187	4.841875657
188	4.838470225
189	4.834969557
190	4.830996087
191	4.827942869
192	4.823240147
193	4.817284508
194	4.813155824
195	4.811349967
