iter	Passed	Remaining
0	12	12019
1	12	6318
2	13	4373
3	13	3393
4	14	2806
5	14	2413
6	15	2134
7	15	1923
8	15	1759
9	16	1627
10	16	1519
11	17	1457
12	19	1475
13	20	1428
14	20	1372
15	21	1315
16	21	1265
17	22	1219
18	22	1177
19	23	1141
20	23	1107
21	24	1078
22	24	1050
23	25	1024
24	25	1001
25	26	978
26	26	957
27	27	938
28	27	920
29	27	904
30	28	888
31	28	875
32	29	861
33	29	849
34	30	836
35	30	825
36	31	814
37	31	803
38	34	839
39	34	834
40	35	830
41	36	824
42	36	818
43	37	810
44	37	802
45	38	793
46	38	785
47	39	778
48	40	777
49	40	771
50	41	764
51	41	757
52	42	750
53	42	743
54	42	737
55	43	730
56	43	724
57	44	718
58	44	713
59	45	707
60	45	702
61	46	697
62	46	694
63	47	693
64	48	704
65	49	702
66	50	701
67	50	697
68	51	693
69	51	688
70	52	684
71	52	680
72	53	676
73	53	673
74	54	669
75	54	665
76	55	662
77	55	658
78	56	654
79	56	651
80	57	647
81	57	644
82	57	640
83	58	637
84	58	634
85	59	631
86	59	628
87	60	625
88	60	622
89	61	621
90	62	619
91	62	618
92	64	630
93	65	628
94	65	626
95	66	623
96	66	620
97	67	618
98	67	615
99	68	612
100	68	610
101	69	607
102	69	605
103	69	602
104	70	600
105	70	597
106	71	595
107	71	592
108	72	590
109	72	588
110	73	586
111	73	584
112	74	581
113	74	579
114	75	578
115	75	576
116	76	575
117	76	573
118	77	571
119	77	569
120	78	573
121	79	573
122	80	572
123	80	571
124	81	569
125	81	567
126	82	565
127	82	563
128	83	561
129	83	560
130	84	558
131	84	556
132	85	555
133	85	553
134	86	551
135	86	548
136	86	546
137	87	545
138	87	543
139	88	542
140	88	541
141	89	540
142	90	540
143	90	539
144	91	537
145	91	536
146	92	535
147	92	533
148	94	537
149	95	539
150	95	538
151	96	537
152	96	536
153	97	535
154	98	534
155	98	532
156	99	531
157	99	530
158	99	528
159	100	527
160	100	525
161	101	524
162	102	523
163	102	523
164	103	522
165	103	521
166	104	520
167	104	519
168	105	518
169	105	516
170	106	515
171	106	514
172	107	512
173	108	515
174	109	514
175	109	514
176	110	513
177	110	512
178	111	510
179	111	509
180	112	508
181	112	507
182	113	505
183	113	504
184	114	503
185	114	503
186	115	502
187	116	501
188	116	500
189	117	498
190	117	497
191	117	496
192	118	494
193	118	493
194	119	492
195	119	491
196	120	490
197	120	488
198	121	488
199	121	487
200	122	486
201	123	489
202	124	489
203	125	488
204	125	487
205	126	486
206	126	485
207	127	483
208	127	482
209	128	481
210	128	480
211	128	479
212	129	478
213	130	477
214	130	476
215	131	475
216	131	474
217	131	473
218	132	472
219	132	471
220	133	469
221	133	468
222	134	467
223	134	466
224	135	465
225	135	464
226	136	463
227	136	461
228	136	460
229	137	458
230	137	457
231	139	460
232	139	460
233	140	459
234	140	458
235	141	457
236	141	456
237	142	455
238	142	454
239	143	453
